
> harmless@1.0.0 evaluate
> node --experimental-strip-types --no-warnings train/evaluate.ts


Evaluation tournament — 60 held-out episodes per matchup (seed base 10000019)

## 1v1 vs scripted trader

| matchup                            | kill | t-kill | acc  | t-surv | lost  | sprd° |
| --- | --- | --- | --- | --- | --- | --- |
| scripted pirate (baseline)         |   98% |   20.2s |   59% |   20.6s |  0.00 |     — |
| random policy (baseline)           |    0% |      —s |   29% |   45.0s |  0.00 |     — |
| trained pirate r1                  |   47% |   17.6s |   44% |   32.2s |  0.00 |     — |
| trained pirate r2 (league)         |   98% |   19.7s |   57% |   20.1s |  0.00 |     — |
| trained pirate r3 (league)         |    2% |   20.3s |   34% |   44.6s |  0.00 |     — |

## 1v1 vs trained evader

| matchup                            | kill | t-kill | acc  | t-surv | lost  | sprd° |
| --- | --- | --- | --- | --- | --- | --- |
| scripted pirate vs evader          |  100% |   17.6s |   66% |   17.6s |  0.00 |     — |
| trained pirate r1 vs evader        |    0% |      —s |   41% |   45.0s |  0.00 |     — |
| trained pirate r2 vs evader        |   92% |   27.6s |   68% |   29.1s |  0.00 |     — |
| trained pirate r3 vs evader        |    0% |      —s |   44% |   45.0s |  0.00 |     — |

## pack of 3 vs armed scripted trader (all packs trained on this)

| matchup                            | kill | t-kill | acc  | t-surv | lost  | sprd° |
| --- | --- | --- | --- | --- | --- | --- |
| 3x scripted pirates                |  100% |    9.0s |   50% |    9.0s |  0.00 |    65 |
| 3x solo r1 brains (no pack obs)    |   65% |    9.9s |   43% |   27.5s |  0.07 |    70 |
| 3x solo r2 brains (SHIPPED)        |  100% |    7.6s |   46% |    7.6s |  0.02 |    68 |
| pack r2 (alpha strike)             |   10% |    8.0s |   35% |   54.8s |  0.10 |    84 |
| pack r3 (sustained fire)           |    7% |    6.2s |   34% |   56.4s |  0.05 |    84 |
| run-4 config, fixed selection      |   52% |   18.5s |   44% |   38.6s |  0.00 |    65 |
| r4 control (none of the 3)         |   65% |   11.3s |   43% |   28.3s |  0.00 |    67 |
| r4 +wide obs only                  |   85% |   16.2s |   43% |   22.7s |  0.00 |    60 |
| r4 +opponent pool only             |   95% |    9.1s |   45% |   11.6s |  0.00 |    68 |
| r4 +kill-rate ranking only         |  100% |    7.6s |   44% |    7.6s |  0.00 |    69 |
| r4 ALL THREE                       |  100% |    8.4s |   46% |    8.4s |  0.00 |    67 |

## pack of 3 vs armed jameson-defend trader (in r4's pool)

| matchup                            | kill | t-kill | acc  | t-surv | lost  | sprd° |
| --- | --- | --- | --- | --- | --- | --- |
| 3x scripted pirates                |  100% |    7.4s |   55% |    7.4s |  0.00 |    89 |
| 3x solo r1 brains (no pack obs)    |  100% |    7.1s |   44% |    7.1s |  0.00 |    91 |
| 3x solo r2 brains (SHIPPED)        |   93% |   16.7s |   53% |   19.6s |  0.32 |    90 |
| pack r2 (alpha strike)             |   85% |    6.4s |   41% |   14.4s |  0.00 |    90 |
| pack r3 (sustained fire)           |   83% |    7.2s |   41% |   16.0s |  0.05 |    91 |
| run-4 config, fixed selection      |   40% |    6.7s |   45% |   38.7s |  0.15 |    89 |
| r4 control (none of the 3)         |    8% |    5.4s |   42% |   55.4s |  0.08 |    92 |
| r4 +wide obs only                  |   52% |    5.0s |   46% |   31.6s |  0.08 |    91 |
| r4 +opponent pool only             |   87% |   11.3s |   48% |   17.8s |  0.07 |    91 |
| r4 +kill-rate ranking only         |   87% |    7.8s |   48% |   14.8s |  0.02 |    88 |
| r4 ALL THREE                       |   73% |   14.3s |   48% |   26.5s |  0.03 |    88 |

## pack of 3 vs armed trader-evade r1 (unseen by every pack)

| matchup                            | kill | t-kill | acc  | t-surv | lost  | sprd° |
| --- | --- | --- | --- | --- | --- | --- |
| 3x scripted pirates                |  100% |    7.7s |   52% |    7.7s |  0.00 |    77 |
| 3x solo r1 brains (no pack obs)    |   65% |   17.3s |   45% |   32.3s |  0.00 |    78 |
| 3x solo r2 brains (SHIPPED)        |  100% |    9.3s |   50% |    9.3s |  0.02 |    73 |
| pack r2 (alpha strike)             |    7% |    9.9s |   36% |   56.7s |  0.10 |    82 |
| pack r3 (sustained fire)           |    8% |   11.1s |   37% |   55.9s |  0.03 |    82 |
| run-4 config, fixed selection      |    7% |   16.4s |   40% |   57.1s |  0.05 |    83 |
| r4 control (none of the 3)         |   17% |   12.7s |   44% |   52.1s |  0.02 |    77 |
| r4 +wide obs only                  |   37% |   34.7s |   44% |   50.7s |  0.00 |    78 |
| r4 +opponent pool only             |   75% |   19.7s |   45% |   29.7s |  0.00 |    77 |
| r4 +kill-rate ranking only         |   98% |   16.3s |   47% |   17.1s |  0.03 |    67 |
| r4 ALL THREE                       |   82% |   21.4s |   46% |   28.5s |  0.05 |    75 |

## Commander Jameson: armed trader vs 2x pirate-r2

| matchup                            | kill | t-kill | acc  | t-surv | lost  | sprd° |
| --- | --- | --- | --- | --- | --- | --- |
| scripted armed trader (baseline)   |  100% |   10.1s |   52% |   10.1s |  0.02 |    55 |
| JAMESON defence policy             |   25% |   14.2s |   51% |   37.3s |  0.55 |    93 |
(here "kill"/"t-surv" describe the TRADER: low kill% + high t-surv = Jameson wins)

kill = trader destroyed · t-kill = mean time to kill · acc = pirate accuracy
t-surv = trader survival · lost = pirates lost/episode · sprd° = attacker spread at hits
npm run evaluate 2>&1  15.26s user 0.16s system 102% cpu 15.005 total
